,GNomexID,run,number,plate,well,sample_type,samp_date,sac_day,day,infection_status,mouse,cage,ear,sex,treatment,microb,DOB,moved_to_SB,moved_from_bubble,age,location,out_of_bubble,PlatePosition,breeding,sample_group,description,LanePosition,RawReads1st,RerunReads,lane,Nanostring_sample,metabolomics_sample,Observed,sum,Shannon,PD,SR,row,cage_day
0_1,18684X170,18684,170,6,NA,breeder,NA,none,none,other,pretreat_bubble,a1_Female,NA,F,pretreat_bubble,GF,NA,NA,NA,NA,NA,NA,NA,no_sep,P0_fecal_t0,GF_before_gavage,170,NA,NA,Prerun,NA,NA,19,2731,1.47997652,2.95256498,19,0_1,a1_Femalenone
0_2,18684X171,18684,171,6,NA,breeder,NA,none,none,other,pretreat_bubble,a2_Female,NA,F,pretreat_bubble,GF,NA,NA,NA,NA,NA,NA,NA,no_sep,P0_fecal_t0,GF_before_gavage,171,NA,NA,Prerun,NA,NA,17,3898,1.726439037,2.603936034,17,0_2,a2_Femalenone
0_3,18684X172,18684,172,6,NA,breeder,NA,none,none,other,pretreat_bubble,a3_Male,NA,M,pretreat_bubble,GF,NA,NA,NA,NA,NA,NA,NA,no_sep,P0_fecal_t0,GF_before_gavage,172,NA,NA,Prerun,NA,NA,15,2286,1.051882911,2.454410938,15,0_3,a3_Malenone
1_LP_D1,19267X68,19267,68,1,68,sample,5/1/21,D14,D1,infected,1_LP,1,LP,F,worm,LO,1/9/21,3/23/21,2/10/21,112,SouthBio,80,F8,NA,exp,NA,68,110533,NA,Original_Lane2,NA,NA,101,59375,2.369799873,7.308775394,101,1_LP_D1,1D1
1_LP_D10,19266X64,19266,64,2,28,sample,5/10/21,D14,D10,infected,1_LP,1,LP,F,worm,LO,1/9/21,3/23/21,2/10/21,121,SouthBio,89,D4,NA,exp,NA,64,69967,NA,Original_Lane1,NA,NA,98,24237,2.162100715,7.78230207,98,1_LP_D10,1D10
1_LP_D14,19266X36,19266,36,2,89,sample,5/14/21,D14,D14,infected,1_LP,1,LP,F,worm,LO,1/9/21,3/23/21,2/10/21,125,SouthBio,93,A12,NA,exp,NA,36,20086,NA,Original_Lane1,NA,1,84,8439,2.94275868,6.464976406,84,1_LP_D14,1D14
1_LP_pre,19267X1,19267,1,1,1,sample,4/24/21,D14,D-5,pretreat,1_LP,1,LP,F,worm,LO,1/9/21,3/23/21,2/10/21,105,SouthBio,73,A1,NA,exp,NA,1,86221,NA,Original_Lane2,NA,NA,75,47414,1.951320938,5.871891631,75,1_LP_pre,1D-5
1_RP_D1,19266X8,19266,8,1,80,sample,5/1/21,D14,D1,infected,1_RP,1,RP,F,worm,LO,1/9/21,3/23/21,2/10/21,112,SouthBio,80,G8,NA,exp,NA,8,137453,NA,Original_Lane1,NA,NA,83,69540,2.299483392,6.604110966,83,1_RP_D1,1D1
1_RP_D10,19266X76,19266,76,2,29,sample,5/10/21,D14,D10,infected,1_RP,1,RP,F,worm,LO,1/9/21,3/23/21,2/10/21,121,SouthBio,89,E4,NA,exp,NA,76,61825,NA,Original_Lane1,NA,NA,90,14561,2.06867687,7.063178444,90,1_RP_D10,1D10
1_RP_D14,19266X48,19266,48,2,90,sample,5/14/21,D14,D14,infected,1_RP,1,RP,F,worm,LO,1/9/21,3/23/21,2/10/21,125,SouthBio,93,B12,NA,exp,NA,48,27321,NA,Original_Lane1,NA,2,77,11746,2.582703914,6.344043981,77,1_RP_D14,1D14
1_RP_pre,19267X13,19267,13,1,13,sample,4/24/21,D14,D-5,pretreat,1_RP,1,RP,F,worm,LO,1/9/21,3/23/21,2/10/21,105,SouthBio,73,B1,NA,exp,NA,13,25453,NA,Original_Lane2,NA,NA,75,14350,2.703340974,5.747573072,75,1_RP_pre,1D-5
10_LLP_D1,19267X12,19267,12,1,12,sample,5/1/21,D14,D1,infected,10_LLP,10,LLP,F,worm,LO,2/1/21,3/23/21,3/10/21,89,SouthBio,52,A12,NA,exp,NA,12,72637,NA,Original_Lane2,NA,NA,28,35657,1.882536878,3.161717613,28,10_LLP_D1,10D1
10_LLP_D10,19266X103,19266,103,2,55,sample,5/10/21,D14,D10,infected,10_LLP,10,LLP,F,worm,LO,2/1/21,3/23/21,3/10/21,98,SouthBio,61,G7,NA,exp,NA,103,24486,NA,Original_Lane1,NA,NA,81,11417,2.45084022,6.44720553,81,10_LLP_D10,10D10
10_LLP_D14,19266X171,19266,171,3,21,sample,5/14/21,D14,D14,infected,10_LLP,10,LLP,F,worm,LO,2/1/21,3/23/21,3/10/21,102,SouthBio,65,E3,NA,exp,NA,171,8633,27980,Rerun,9,NA,75,15544,1.965452228,5.799130663,75,10_LLP_D14,10D14
10_LLP_pre,19267X40,19267,40,1,40,sample,4/24/21,D14,D-5,pretreat,10_LLP,10,LLP,F,worm,LO,2/1/21,3/23/21,3/10/21,82,SouthBio,45,D4,NA,exp,NA,40,73274,NA,Original_Lane2,NA,NA,30,35039,1.980747894,3.056602928,30,10_LLP_pre,10D-5
10_LP_D1,19267X24,19267,24,1,24,sample,5/1/21,D41,D1,infected,10_LP,10,LP,F,worm,LO,2/1/21,3/23/21,3/10/21,89,SouthBio,52,B12,NA,exp,NA,24,47689,NA,Original_Lane2,NA,NA,26,25694,1.716153689,3.179153743,26,10_LP_D1,10D1
10_LP_D10,19266X115,19266,115,2,56,sample,5/10/21,D41,D10,infected,10_LP,10,LP,F,worm,LO,2/1/21,3/23/21,3/10/21,98,SouthBio,61,H7,NA,exp,NA,115,19238,NA,Original_Lane1,NA,NA,109,10122,2.161639904,7.99930779,109,10_LP_D10,10D10
10_LP_D14,19266X183,19266,183,3,22,sample,5/15/21,D41,D14,infected,10_LP,10,LP,F,worm,LO,2/1/21,3/23/21,3/10/21,103,SouthBio,66,F3,NA,exp,NA,183,6040,34517,Rerun,NA,NA,84,17085,2.126525624,6.190400403,84,10_LP_D14,10D14
10_LP_D28,19266X166,19266,166,3,76,sample,5/28/21,D41,D28,cleared,10_LP,10,LP,F,worm,LO,2/1/21,3/23/21,3/10/21,116,SouthBio,79,D10,NA,exp,NA,166,11839,NA,Original_Lane1,NA,NA,76,5097,2.534936107,5.384266147,76,10_LP_D28,10D28
10_LP_D41,19267X102,19267,102,4,43,sample,6/10/21,D41,D41,cleared,10_LP,10,LP,F,worm,LO,2/1/21,3/23/21,3/10/21,129,SouthBio,92,C6,NA,exp,NA,102,181,36775,Rerun,10,24,83,18616,1.868935457,5.782113089,83,10_LP_D41,10D41
10_LP_pre,19267X52,19267,52,1,52,sample,4/24/21,D41,D-5,pretreat,10_LP,10,LP,F,worm,LO,2/1/21,3/23/21,3/10/21,82,SouthBio,45,E4,NA,exp,NA,52,86370,NA,Original_Lane2,NA,NA,29,42489,1.722237422,2.91045544,29,10_LP_pre,10D-5
10_RLP_D1,19267X36,19267,36,1,36,sample,5/1/21,D41,D1,infected,10_RLP,10,RLP,F,worm,LO,2/1/21,3/23/21,3/10/21,89,SouthBio,52,C12,NA,exp,NA,36,47067,NA,Original_Lane2,NA,NA,27,23276,1.860335151,2.862424773,27,10_RLP_D1,10D1
